고객 이름,Membership Type,시도,시군구,상세주소,전화,제품,ref,제조번호,설치일자,AX 코드,S.Territory
화이트치과의원_경기도 의정부,6368034 year generator/sensor warranty(3D),경기도,의정부시,체육로 304,031-826-2871,Axeos ceph,Axeos_C,1191,2023-11-22,113560,EAST
다른치과 (DARN Dental Clinic),6368034 year generator/sensor warranty(3D),서울특별시,강남구,강남대로 652,02-3446-2080,Axeos ceph,Axeos_C,1190,2023-09-27,113349,EAST
사과나무치과의원,6368034 year generator/sensor warranty(3D),경기도,부천시,역곡로 8,032-343-2871,Axeos ceph,Axeos_C,1189,2023-09-20,109093,WEST
사과나무치과의원_충남 아산,6368034 year generator/sensor warranty(3D),충청남도,아산시,탕정면 매곡리 1218 젤존트윈시티 1동 405호,041-427-2882,Axeos ceph,Axeos_C,1172,2023-08-07,113367,WEST
꿈을이루는수치과,6368034 year generator/sensor warranty(3D),충청남도,아산시,배방읍 고속철대로 147 우성메디피아 4층,041-556-2282,Axeos ceph,Axeos_C,1171,2023-03-25,109073,WEST
서울리멤버치과의원,6368034 year generator/sensor warranty(3D),서울특별시,관악구,남부순환로 1830,02-884-2080,Axeos ceph,Axeos_C,1138,2022-12-05,112969,WEST
서울더고운치과의원,6368034 year generator/sensor warranty(3D),경기도,하남시,미사강변동로 81,031-8028-0275,Axeos ceph,Axeos_C,1137,2022-11-27,114030,EAST
본수치과의원,,강원특별자치도,춘천시,후석로 328,033-252-7525,Treatment center Sinius,6308865,115780,2018-12-18,110477,EAST
다른치과 (DARN Dental Clinic),6336767 Extended warranty (1+2) Sinius,서울특별시,강남구,강남대로 652,02-3446-2080,Treatment center Sinius,6308865,539113,2023-09-27,113349,EAST
BK치과의원_충북 청주시,,충청북도,청주시,흥덕구 직지대로 530,043-264-0006,Treatment center Sinius,6308865,533636,2021-10-20,110330,WEST
예인치과의원_경남 창원,6336791 Extended warranty Intego/pro 1+4,경상남도,창원시,의창구 원이대로 581,055-273-7528,Treatment center Intego,6427285,378363,2025-04-26,111915,EAST
최영규치과의원,,서울특별시,양천구,목동동로 379,02-2642-6250,Treatment center Intego,6427285,244921,2018-11-14,110175,WEST
양지바른치과,6336783 Extended warranty Intego/pro (1+2),서울특별시,서초구,방배로 118,02-581-2273,Treatment center Intego,6427285,378021,2025-03-26,109182,EAST
분당서울대학교병원,6336791 Extended warranty Intego/pro 1+4,경기도,성남시,분당구 구미로173번길 82,031-787-1356,Treatment center Intego,6427285,378106,2025-03-20,104209,EAST
국립암센터,6336783 Extended warranty Intego/pro (1+2),경기도,고양시,일산동구 일산로 323,031-1588-8110,Treatment center Intego,6427285,377702,2025-02-24,110110,WEST
백진우치과의원,6336791 Extended warranty Intego/pro 1+4,서울특별시,양천구,목동동로8길 17 ,02-2652-2011,Treatment center Intego,6427285,377610,2025-02-01,112058,WEST
백진우치과의원,6336791 Extended warranty Intego/pro 1+4,서울특별시,양천구,목동동로8길 17 ,02-2652-2011,Treatment center Intego,6427285,377590,2025-02-01,112058,WEST
백진우치과의원,6336791 Extended warranty Intego/pro 1+4,서울특별시,양천구,목동동로8길 17 ,02-2652-2011,Treatment center Intego,6427285,377531,2025-02-01,112058,WEST
백진우치과의원,6336791 Extended warranty Intego/pro 1+4,서울특별시,양천구,목동동로8길 17 ,02-2652-2011,Treatment center Intego,6427285,377528,2025-02-01,112058,WEST
백진우치과의원,6336791 Extended warranty Intego/pro 1+4,서울특별시,양천구,목동동로8길 17 ,02-2652-2011,Treatment center Intego,6427285,377527,2025-02-01,112058,WEST
BK치과의원_충북 청주시,6336783 Extended warranty Intego/pro (1+2),충청북도,청주시,흥덕구 직지대로 530,043-264-0006,Treatment center Intego,6427285,373297,2024-12-23,110330,WEST
선문대학교,6336783 Extended warranty Intego/pro (1+2),충청남도,아산시,탕정면 선문로221번길 70,041-530-2734,Treatment center Intego,6427285,377283,2024-12-21,111541,WEST
선문대학교,6336783 Extended warranty Intego/pro (1+2),충청남도,아산시,탕정면 선문로221번길 70,041-530-2734,Treatment center Intego,6427285,377285,2024-12-21,111541,WEST
선문대학교,6336783 Extended warranty Intego/pro (1+2),충청남도,아산시,탕정면 선문로221번길 70,041-530-2734,Treatment center Intego,6427285,377286,2024-12-21,111541,WEST
선문대학교,6336783 Extended warranty Intego/pro (1+2),충청남도,아산시,탕정면 선문로221번길 70,041-530-2734,Treatment center Intego,6427285,377288,2024-12-21,111541,WEST
선문대학교,6336783 Extended warranty Intego/pro (1+2),충청남도,아산시,탕정면 선문로221번길 70,041-530-2734,Treatment center Intego,6427285,377270,2024-12-21,111541,WEST
선문대학교,6336783 Extended warranty Intego/pro (1+2),충청남도,아산시,탕정면 선문로221번길 70,041-530-2734,Treatment center Intego,6427285,377271,2024-12-21,111541,WEST
선문대학교,6336783 Extended warranty Intego/pro (1+2),충청남도,아산시,탕정면 선문로221번길 70,041-530-2734,Treatment center Intego,6427285,377273,2024-12-21,111541,WEST
선문대학교,6336783 Extended warranty Intego/pro (1+2),충청남도,아산시,탕정면 선문로221번길 70,041-530-2734,Treatment center Intego,6427285,377291,2024-12-21,111541,WEST
선문대학교,6336783 Extended warranty Intego/pro (1+2),충청남도,아산시,탕정면 선문로221번길 70,041-530-2734,Treatment center Intego,6427285,377269,2024-12-21,111541,WEST
선문대학교,6336783 Extended warranty Intego/pro (1+2),충청남도,아산시,탕정면 선문로221번길 70,041-530-2734,Treatment center Intego,6427285,377292,2024-12-21,111541,WEST
선문대학교,6336783 Extended warranty Intego/pro (1+2),충청남도,아산시,탕정면 선문로221번길 70,041-530-2734,Treatment center Intego,6427285,377293,2024-12-21,111541,WEST
선문대학교,6336783 Extended warranty Intego/pro (1+2),충청남도,아산시,탕정면 선문로221번길 70,041-530-2734,Treatment center Intego,6427285,377295,2024-12-21,111541,WEST
선문대학교,6336783 Extended warranty Intego/pro (1+2),충청남도,아산시,탕정면 선문로221번길 70,041-530-2734,Treatment center Intego,6427285,377267,2024-12-21,111541,WEST
선문대학교,6336783 Extended warranty Intego/pro (1+2),충청남도,아산시,탕정면 선문로221번길 70,041-530-2734,Treatment center Intego,6427285,377268,2024-12-21,111541,WEST
선문대학교,6336783 Extended warranty Intego/pro (1+2),충청남도,아산시,탕정면 선문로221번길 70,041-530-2734,Treatment center Intego,6427285,377290,2024-12-21,111541,WEST
선문대학교,6336783 Extended warranty Intego/pro (1+2),충청남도,아산시,탕정면 선문로221번길 70,041-530-2734,Treatment center Intego,6427285,377294,2024-12-21,111541,WEST
선문대학교,6336783 Extended warranty Intego/pro (1+2),충청남도,아산시,탕정면 선문로221번길 70,041-530-2734,Treatment center Intego,6427285,377281,2024-12-21,111541,WEST
선문대학교,6336783 Extended warranty Intego/pro (1+2),충청남도,아산시,탕정면 선문로221번길 70,041-530-2734,Treatment center Intego,6427285,377282,2024-12-21,111541,WEST
선문대학교,6336783 Extended warranty Intego/pro (1+2),충청남도,아산시,탕정면 선문로221번길 70,041-530-2734,Treatment center Intego,6427285,377284,2024-12-21,111541,WEST
선문대학교,6336783 Extended warranty Intego/pro (1+2),충청남도,아산시,탕정면 선문로221번길 70,041-530-2734,Treatment center Intego,6427285,377287,2024-12-21,111541,WEST
선문대학교,6336783 Extended warranty Intego/pro (1+2),충청남도,아산시,탕정면 선문로221번길 70,041-530-2734,Treatment center Intego,6427285,377289,2024-12-21,111541,WEST
선문대학교,6336783 Extended warranty Intego/pro (1+2),충청남도,아산시,탕정면 선문로221번길 70,041-530-2734,Treatment center Intego,6427285,377265,2024-12-21,111541,WEST
선문대학교,6336783 Extended warranty Intego/pro (1+2),충청남도,아산시,탕정면 선문로221번길 70,041-530-2734,Treatment center Intego,6427285,377266,2024-12-21,111541,WEST
선문대학교,6336783 Extended warranty Intego/pro (1+2),충청남도,아산시,탕정면 선문로221번길 70,041-530-2734,Treatment center Intego,6427285,377272,2024-12-21,111541,WEST
선문대학교,6336783 Extended warranty Intego/pro (1+2),충청남도,아산시,탕정면 선문로221번길 70,041-530-2734,Treatment center Intego,6427285,377296,2024-12-21,111541,WEST
황재웅치과의원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강남구,논현로175길 18,02-517-5177,Treatment center Intego,6427285,377158,2024-12-11,114098,EAST
국립암센터,6336783 Extended warranty Intego/pro (1+2),경기도,고양시,일산동구 일산로 323,031-1588-8110,Treatment center Intego,6427285,376374,2024-10-16,110110,WEST
예인치과의원_경남 창원,6336783 Extended warranty Intego/pro (1+2),경상남도,창원시,의창구 원이대로 581,055-273-7528,Treatment center Intego,6427285,373151,2024-09-13,111915,EAST
삼성서울병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강남구,일원로 81,02-3410-2828,Treatment center Intego,6427285,374338,2024-06-02,104334,EAST
삼성서울병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강남구,일원로 81,02-3410-2828,Treatment center Intego,6427285,374337,2024-06-02,104334,EAST
연세유펜치과_전북 전주,6336783 Extended warranty Intego/pro (1+2),전북특별자치도,전주시,완산구 마전들로 55,063-224-0028,Treatment center Intego,6427285,257639,2021-03-02,111962,WEST
연세유펜치과_전북 전주,6336783 Extended warranty Intego/pro (1+2),전북특별자치도,전주시,완산구 마전들로 55,063-224-0028,Treatment center Intego,6427285,257638,2021-03-02,111962,WEST
양지바른치과,6336783 Extended warranty Intego/pro (1+2),서울특별시,서초구,방배로 118,02-581-2273,Treatment center Intego,6427285,260326,2021-07-22,109182,EAST
양지바른치과,6336783 Extended warranty Intego/pro (1+2),서울특별시,서초구,방배로 118,02-581-2273,Treatment center Intego,6427285,260325,2021-07-22,109182,EAST
양지바른치과,6336783 Extended warranty Intego/pro (1+2),서울특별시,서초구,방배로 118,02-581-2273,Treatment center Intego,6427285,260324,2021-07-22,109182,EAST
양지바른치과,6336783 Extended warranty Intego/pro (1+2),서울특별시,서초구,방배로 118,02-581-2273,Treatment center Intego,6427285,260323,2021-07-22,109182,EAST
양지바른치과,6336783 Extended warranty Intego/pro (1+2),서울특별시,서초구,방배로 118,02-581-2273,Treatment center Intego,6427285,260322,2021-07-22,109182,EAST
이사랑치과_서울 마포구,6336791 Extended warranty Intego/pro 1+4,서울특별시,마포구,백범로 205 펜트라우스 105동 1층,02-701-2199,Treatment center Intego,6427285,258697,2021-05-06,111156,WEST
형제치과의원,6336783 Extended warranty Intego/pro (1+2),제주특별자치도,서귀포시,중정로 104,064-763-9800,Treatment center Intego,6427285,251294,2021-04-15,113832,WEST
꿈을이루는수치과,6336791 Extended warranty Intego/pro 1+4,충청남도,아산시,배방읍 고속철대로 147 우성메디피아 4층,041-556-2282,Treatment center Intego,6427285,255542,2020-12-29,109073,WEST
본수치과의원,6336791 Extended warranty Intego/pro 1+4,강원특별자치도,춘천시,후석로 328,033-252-7525,Treatment center Intego,6427285,257094,2020-12-17,110477,EAST
형제치과의원,6336783 Extended warranty Intego/pro (1+2),제주특별자치도,서귀포시,중정로 104,064-763-9800,Treatment center Intego,6427285,251289,2020-12-03,113832,WEST
임프라인치과의원,6336783 Extended warranty Intego/pro (1+2),서울특별시,서대문구,신촌로 189 이화인비따레오피스텔 2층,02-364-2875,Treatment center Intego,6427285,255543,2020-11-25,108321,WEST
연세대학교 의과대학 강남세브란스병원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,언주로 211,02-2019-1340,Treatment center Intego,6427285,256001,2020-11-21,104215,EAST
연세대학교 의과대학 강남세브란스병원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,언주로 211,02-2019-1340,Treatment center Intego,6427285,256002,2020-11-21,104215,EAST
연세대학교 의과대학 강남세브란스병원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,언주로 211,02-2019-1340,Treatment center Intego,6427285,256006,2020-11-21,104215,EAST
연세대학교 의과대학 강남세브란스병원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,언주로 211,02-2019-1340,Treatment center Intego,6427285,256007,2020-11-21,104215,EAST
연세대학교 의과대학 강남세브란스병원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,언주로 211,02-2019-1340,Treatment center Intego,6427285,256008,2020-11-21,104215,EAST
연세대학교 의과대학 강남세브란스병원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,언주로 211,02-2019-1340,Treatment center Intego,6427285,256009,2020-11-21,104215,EAST
연세대학교 의과대학 강남세브란스병원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,언주로 211,02-2019-1340,Treatment center Intego,6427285,256010,2020-11-21,104215,EAST
연세대학교 의과대학 강남세브란스병원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,언주로 211,02-2019-1340,Treatment center Intego,6427285,256011,2020-11-21,104215,EAST
연세대학교 의과대학 강남세브란스병원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,언주로 211,02-2019-1340,Treatment center Intego,6427285,256220,2020-11-14,104215,EAST
연세대학교 의과대학 강남세브란스병원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,언주로 211,02-2019-1340,Treatment center Intego,6427285,256222,2020-11-14,104215,EAST
연세대학교 의과대학 강남세브란스병원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,언주로 211,02-2019-1340,Treatment center Intego,6427285,256223,2020-11-14,104215,EAST
연세대학교 의과대학 강남세브란스병원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,언주로 211,02-2019-1340,Treatment center Intego,6427285,256224,2020-11-14,104215,EAST
연세대학교 의과대학 강남세브란스병원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,언주로 211,02-2019-1340,Treatment center Intego,6427285,256214,2020-11-14,104215,EAST
연세대학교 의과대학 강남세브란스병원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,언주로 211,02-2019-1340,Treatment center Intego,6427285,256216,2020-11-14,104215,EAST
연세대학교 의과대학 강남세브란스병원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,언주로 211,02-2019-1340,Treatment center Intego,6427285,256217,2020-11-14,104215,EAST
연세대학교 의과대학 강남세브란스병원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,언주로 211,02-2019-1340,Treatment center Intego,6427285,256218,2020-11-14,104215,EAST
연세대학교 의과대학 강남세브란스병원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,언주로 211,02-2019-1340,Treatment center Intego,6427285,256215,2020-11-14,104215,EAST
연세대학교 의과대학 강남세브란스병원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,언주로 211,02-2019-1340,Treatment center Intego,6427285,256219,2020-11-14,104215,EAST
연세대학교 의과대학 강남세브란스병원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,언주로 211,02-2019-1340,Treatment center Intego,6427285,256221,2020-11-14,104215,EAST
연세대학교 의과대학 강남세브란스병원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,언주로 211,02-2019-1340,Treatment center Intego,6427285,256213,2020-11-07,104215,EAST
연세대학교 의과대학 강남세브란스병원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,언주로 211,02-2019-1340,Treatment center Intego,6427285,256212,2020-11-07,104215,EAST
연세대학교 의과대학 강남세브란스병원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,언주로 211,02-2019-1340,Treatment center Intego,6427285,256211,2020-11-07,104215,EAST
연세대학교 의과대학 강남세브란스병원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,언주로 211,02-2019-1340,Treatment center Intego,6427285,256210,2020-11-07,104215,EAST
연세대학교 의과대학 강남세브란스병원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,언주로 211,02-2019-1340,Treatment center Intego,6427285,256062,2020-11-07,104215,EAST
연세대학교 의과대학 강남세브란스병원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,언주로 211,02-2019-1340,Treatment center Intego,6427285,256061,2020-11-07,104215,EAST
연세대학교 의과대학 강남세브란스병원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,언주로 211,02-2019-1340,Treatment center Intego,6427285,256060,2020-11-07,104215,EAST
연세대학교 의과대학 강남세브란스병원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,언주로 211,02-2019-1340,Treatment center Intego,6427285,256059,2020-11-07,104215,EAST
연세대학교 의과대학 강남세브란스병원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,언주로 211,02-2019-1340,Treatment center Intego,6427285,256003,2020-10-31,104215,EAST
연세대학교 의과대학 강남세브란스병원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,언주로 211,02-2019-1340,Treatment center Intego,6427285,256004,2020-10-31,104215,EAST
연세대학교 의과대학 강남세브란스병원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,언주로 211,02-2019-1340,Treatment center Intego,6427285,256005,2020-10-31,104215,EAST
연세대학교 의과대학 강남세브란스병원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,언주로 211,02-2019-1340,Treatment center Intego,6427285,256055,2020-10-31,104215,EAST
연세대학교 의과대학 강남세브란스병원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,언주로 211,02-2019-1340,Treatment center Intego,6427285,256056,2020-10-31,104215,EAST
연세대학교 의과대학 강남세브란스병원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,언주로 211,02-2019-1340,Treatment center Intego,6427285,256057,2020-10-31,104215,EAST
연세대학교 의과대학 강남세브란스병원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,언주로 211,02-2019-1340,Treatment center Intego,6427285,256058,2020-10-31,104215,EAST
인하대학교의과대학부속병원 (인하대병원),6336783 Extended warranty Intego/pro (1+2),인천광역시,중구,인항로 27,032-890-2472032-890-2114,Treatment center Intego,6427285,255852,2020-11-12,104954,WEST
인하대학교의과대학부속병원 (인하대병원),6336783 Extended warranty Intego/pro (1+2),인천광역시,중구,인항로 27,032-890-2472032-890-2114,Treatment center Intego,6427285,255851,2020-11-12,104954,WEST
인하대학교의과대학부속병원 (인하대병원),6336783 Extended warranty Intego/pro (1+2),인천광역시,중구,인항로 27,032-890-2472032-890-2114,Treatment center Intego,6427285,253453,2020-11-12,104954,WEST
인하대학교의과대학부속병원 (인하대병원),6336783 Extended warranty Intego/pro (1+2),인천광역시,중구,인항로 27,032-890-2472032-890-2114,Treatment center Intego,6427285,253452,2020-11-12,104954,WEST
인하대학교의과대학부속병원 (인하대병원),6336783 Extended warranty Intego/pro (1+2),인천광역시,중구,인항로 27,032-890-2472032-890-2114,Treatment center Intego,6427285,253451,2020-11-12,104954,WEST
인하대학교의과대학부속병원 (인하대병원),6336783 Extended warranty Intego/pro (1+2),인천광역시,중구,인항로 27,032-890-2472032-890-2114,Treatment center Intego,6427285,253450,2020-11-12,104954,WEST
(의료)길의료재단,6336791 Extended warranty Intego/pro 1+4,인천광역시,남동구,남동대로 774번길 21,032-460-3582,Treatment center Intego,6427285,256143,2020-10-13,104944,WEST
이사랑치과_서울 마포구,6336791 Extended warranty Intego/pro 1+4,서울특별시,마포구,백범로 205 펜트라우스 105동 1층,02-701-2199,Treatment center Intego,6427285,254890,2020-06-25,111156,WEST
이사랑치과_서울 마포구,6336791 Extended warranty Intego/pro 1+4,서울특별시,마포구,백범로 205 펜트라우스 105동 1층,02-701-2199,Treatment center Intego,6427285,254893,2020-06-25,111156,WEST
심송치과의원,6336791 Extended warranty Intego/pro 1+4,경기도,수원시,영통구 광교호수공원로 277,031-215-3038~9,Treatment center Intego,6427285,253726,2020-01-20,109971,WEST
심송치과의원,6336791 Extended warranty Intego/pro 1+4,경기도,수원시,영통구 광교호수공원로 277,031-215-3038~9,Treatment center Intego,6427285,253725,2020-01-20,109971,WEST
더하루치과의원,6336791 Extended warranty Intego/pro 1+4,서울특별시,중구,을지로 251,02-2265-2875,Treatment center Intego,6427285,253533,2019-12-28,111378,WEST
더하루치과의원,6336791 Extended warranty Intego/pro 1+4,서울특별시,중구,을지로 251,02-2265-2875,Treatment center Intego,6427285,253532,2019-12-28,111378,WEST
더하루치과의원,6336791 Extended warranty Intego/pro 1+4,서울특별시,중구,을지로 251,02-2265-2875,Treatment center Intego,6427285,253531,2019-12-28,111378,WEST
더하루치과의원,6336791 Extended warranty Intego/pro 1+4,서울특별시,중구,을지로 251,02-2265-2875,Treatment center Intego,6427285,253530,2019-12-28,111378,WEST
더하루치과의원,6336791 Extended warranty Intego/pro 1+4,서울특별시,중구,을지로 251,02-2265-2875,Treatment center Intego,6427285,253529,2019-12-28,111378,WEST
하임치과의원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,논현로98길 34,02-596-2080,Treatment center Intego,6427285,251293,2019-12-30,109155,EAST
하임치과의원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,논현로98길 34,02-596-2080,Treatment center Intego,6427285,251292,2019-12-30,109155,EAST
하임치과의원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,논현로98길 34,02-596-2080,Treatment center Intego,6427285,247021,2019-12-30,109155,EAST
서울토토치과의원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,도곡로 521 203호,02-539-1106,Treatment center Intego,6427285,252806,2019-12-05,107117,EAST
서울토토치과의원,6336791 Extended warranty Intego/pro 1+4,서울특별시,강남구,도곡로 521 203호,02-539-1106,Treatment center Intego,6427285,252805,2019-12-05,107117,EAST
연세주니어치과,6336791 Extended warranty Intego/pro 1+4,서울특별시,양천구,신정동  323-9번지 이스타빌3차 B동 205호,02-2646-2875,Treatment center Intego,6427285,252927,2019-11-21,109951,WEST
의료법인 금강의료재단_(구.고치과.고운치과)_경남 창원,6336791 Extended warranty Intego/pro 1+4,경상남도,창원시,의창구 용호동 73-43,055-285-0987,Treatment center Intego,6427285,231660,2019-11-20,104104,EAST
이인창치과의원_경남 창원시,6336791 Extended warranty Intego/pro 1+4,경상남도,창원시,창원시 마산합포구 불종거리로 12,055-246-2319,Treatment center Intego,6427285,251615,2019-09-26,101807,EAST
이인창치과의원_경남 창원시,6336791 Extended warranty Intego/pro 1+4,경상남도,창원시,창원시 마산합포구 불종거리로 12,055-246-2319,Treatment center Intego,6427285,251614,2019-09-26,101807,EAST
이인창치과의원_경남 창원시,6336791 Extended warranty Intego/pro 1+4,경상남도,창원시,창원시 마산합포구 불종거리로 12,055-246-2319,Treatment center Intego,6427285,251613,2019-09-26,101807,EAST
이인창치과의원_경남 창원시,6336791 Extended warranty Intego/pro 1+4,경상남도,창원시,창원시 마산합포구 불종거리로 12,055-246-2319,Treatment center Intego,6427285,251612,2019-09-26,101807,EAST
서울해치과,6336791 Extended warranty Intego/pro 1+4,서울특별시,은평구,은평로 136,02-737-7185,Treatment center Intego,6427285,251780,2019-08-28,111221,WEST
사과나무치과의원,6336791 Extended warranty Intego/pro 1+4,경기도,부천시,역곡로 8,032-343-2871,Treatment center Intego,6427285,251173,2019-07-26,109093,WEST
신현수치과의원,6336791 Extended warranty Intego/pro 1+4,서울특별시,종로구,새문안로5길 37,02-725-3289,Treatment center Intego,6427285,251175,2019-07-25,111134,WEST
덴토피아치과의원,6336791 Extended warranty Intego/pro 1+4,서울특별시,서초구,서초중앙로24길 17,02-599-2847,Treatment center Intego,6427285,251174,2019-07-22,105260,EAST
양지바른치과,,서울특별시,서초구,방배로 118,02-581-2273,Treatment center Intego,6427285,246707,2018-12-19,109182,EAST
이사랑연합치과의원,,대구광역시,수성구,지범로 183,053-783-1414,Treatment center Intego,6427285,246829,2018-12-18,106599,EAST
근로복지공단 창원병원,,경상남도,창원시,성산구 창원대로 721,055-280-0300,Treatment center Intego,6427285,246290,2018-11-01,105121,EAST
근로복지공단 창원병원,,경상남도,창원시,성산구 창원대로 721,055-280-0300,Treatment center Intego,6427285,246289,2018-11-01,105121,EAST
삼성서울병원,,서울특별시,강남구,일원로 81,02-3410-2828,Treatment center Intego,6427285,246089,2018-10-19,104334,EAST
삼성서울병원,,서울특별시,강남구,일원로 81,02-3410-2828,Treatment center Intego,6427285,246088,2018-10-19,104334,EAST
삼성서울병원,,서울특별시,강남구,일원로 81,02-3410-2828,Treatment center Intego,6427285,246087,2018-10-19,104334,EAST
삼성서울병원,,서울특별시,강남구,일원로 81,02-3410-2828,Treatment center Intego,6427285,246086,2018-10-19,104334,EAST
삼성서울병원,,서울특별시,강남구,일원로 81,02-3410-2828,Treatment center Intego,6427285,246085,2018-10-19,104334,EAST
삼성서울병원,,서울특별시,강남구,일원로 81,02-3410-2828,Treatment center Intego,6427285,246070,2018-10-19,104334,EAST
삼성서울병원,,서울특별시,강남구,일원로 81,02-3410-2828,Treatment center Intego,6427285,246069,2018-10-19,104334,EAST
콤마(COMMA)치과의원,,경기도,구리시,경춘북로 252,031-571-2880,Treatment center Intego,6427285,245241,2018-09-17,110702,EAST
콤마(COMMA)치과의원,,경기도,구리시,경춘북로 252,031-571-2880,Treatment center Intego,6427285,245240,2018-09-17,110702,EAST
콤마(COMMA)치과의원,,경기도,구리시,경춘북로 252,031-571-2880,Treatment center Intego,6427285,245239,2018-09-17,110702,EAST
콤마(COMMA)치과의원,,경기도,구리시,경춘북로 252,031-571-2880,Treatment center Intego,6427285,245238,2018-09-17,110702,EAST
양지바른치과,,서울특별시,서초구,방배로 118,02-581-2273,Treatment center Intego,6427285,244755,2018-07-25,109182,EAST
