고객 이름,Membership Type,시도,시군구,상세주소(도로명주소).1.1,전화,제품,ref,제조번호,설치일자,AX 코드,S.Territory
이젤민트치과의원,DS Core Care 1-3,경기도,성남시,수정구 수정로 205 ,031-755-5033,Primescan Connect,6795491,M6785344S803624/PF42D0M3,2023-10-06,113507,EAST
신흥미치과의원,DS Core Care 1-3,경기도,성남시,수정구 산성대로 305,031-722-2275,Primescan Connect,6795491,M6785344S803656/PF42GPGN,2023-10-06,113499,EAST
서울뿌리치과의원,DS Core Care 1-3,경기도,수원시,팔달구 중부대로 249,031-248-7528,Primescan Connect,6795491,M6785344S803673 / PF41E3NE,2023-10-06,113295,WEST
석치과의원,,경기도,남양주시,늘올2로 26,031-592-2830,Primescan Connect,6795491,M6785344S803585 / PF42HD6C,2023-10-05,113495,EAST
서울아이티치과의원_군포,DS Core Care 1-3,경기도,군포시,고산로148번길 17,031-456-8777,Primescan Connect,6795491,M6785344S803628/PF41MGPF,2023-09-27,113492,WEST
반월정성치과의원,DS Core Care 1-3,경기도,안산시,단원구 동산로 60,031-491-0003,Primescan Connect,6795491,M6785344S803626/PF42K4NV,2023-09-27,113496,WEST
강남더블유치과의원,DS Core Care 1-3,서울특별시,서초구,강남대로 463,02-2052-0075,Primescan Connect,6795491,M6785344S803587/PF42GJYT,2023-09-26,113497,EAST
스타플란트치과의원_경기 안산,DS Core Care 1-3,경기도,안산시,단원구 광덕1로 62 아트프라자 201~203호,031-414-2844,Primescan Connect,6795491,M6785344S803586/PF42JEYB,2023-09-26,113493,WEST
주드림치과,DS Core Care 1-3,경기도,부천시,원미구 길주로 275 ,032-329-758,Primescan Connect,6795491,M6785344S803584/PF41R5XM,2023-09-26,113498,WEST
연세돌담치과의원,DS Core Care 1-3,서울특별시,중구,세종대로 93,,Primescan Connect,6795491,M6785344S803438/PF42HFFS,2023-09-26,113476,WEST
이노스치과의원,DS Core Care 1-3,경기도,평택시,경기대로 1188,031-667-2802,Primescan Connect,6795491,M6785344S803437/PF42JEXJ,2023-09-26,108196,WEST
미래치과의원_경기 오산시,DS Core Care 1-3,경기도,오산시,대원로 22,031-377-6677,Primescan Connect,6795491,M6785344S803436/PF41R7WJ,2023-09-26,103457,WEST
장흥연세치과,DS Core Care 1-3,전라남도,장흥군,장흥읍 동교1길 29,061-862-2875,Primescan Connect,6795491,M6785344S803434/PF42HD4S,2023-09-25,107482,WEST
삼성퍼스트치과의원,DS Core Care 1-3,경기도,고양시,으뜸로 124 ,02-2039-2875,Primescan Connect,6795491,M6785344S803099/PF41WB20,2023-09-22,113486,WEST
임재윤치과의원,,강원특별자치도,평창군,평창읍  하리 137-18,033-333-3492,Primescan Connect,6795491,M6785344S803096 / PF41X90M,2023-09-22,103336,EAST
서울좋은치과,DS Core Care 1-3,충청북도,청주시,흥덕구 대신로 132,043-263-7528,Primescan Connect,6795491,M6785344S803095/PF41WW3E,2023-09-22,108247,WEST
원데이수치과의원,DS Core Care 1-3,충청남도,아산시,번영로 118,041-584-7582,Primescan Connect,6795491,M6785344S803094/PF41WDAS,2023-09-22,111488,WEST
운정뉴욕정치과,DS Core Care 1-3,경기도,파주시,와석순환로 133,,Primescan Connect,6795491,M6785344S803093/PF42M658,2023-09-21,113483,WEST
아이엠플란트치과의원_경기 안산,,경기도,안산시,단원구 광덕대로 181,031-410-2080,Primescan Connect,6795491,M6785344S803092/PF41WW7X,2023-09-21,113459,WEST
자기치아살리기삼성플란트치과의원,DS Core Care 1-3,서울특별시,강남구,테헤란로 532,02-569-2278,Primescan Connect,6795491,M6785344S803091/PF1WSXA,2023-09-20,112632,EAST
연세모드니치과의원,DS Core Care 1-3,경기도,광주시,퇴촌면 광동로 73-8 ,031-768-2275,Primescan Connect,6795491,M6785344S803090/PF41WL2L,2023-09-20,113468,EAST
강남치과_세종시,DS Core Care 1-3,세종특별자치시,,금남면 용포로 63,044-867-7528,Primescan Connect,6795491,M6785344S803087/PF41XB4B,2023-09-20,110632,WEST
김규훈치과의원,DS Core Care 1-3,충청북도,음성군,금왕읍  무극리 230-3,043-877-0455,Primescan Connect,6795491,M6785344S803088/PF41WSVN,2023-09-18,113466,WEST
수석치과_충북 청주시,DS Core Care 1-3,충청북도,청주시,흥덕구 가경동 1416-3번지 드림플러스 6층 6050,043-235-8275,Primescan Connect,6795491,M6785344S803089/PF41WDDV,2023-09-18,105458,WEST
친절한홍치과의원,DS Core Care 1-3,전북특별자치도,군산시,공항로 79,063-731-2828,Primescan Connect,6795491,M6785344S803086/PF41WFPV,2023-09-19,113475,WEST
정아나치과의원,DS Core Care 1-3,전라남도,목포시,용해지구로 2,061-244-2875,Primescan Connect,6795491,M6785344S803085/PF41XFP2,2023-09-19,113469,WEST
굿모닝치과의원_경기 의왕시,DS Core Care 1-3,경기도,의왕시,오전동 108 현대프라자 405,031-456-4393,Primescan Connect,6795491,M6785344S803084/PF41WDF5,2023-09-19,102743,WEST
서울고운이치과,DS Core Care 1-3,인천광역시,연수구,독배로40번길 29,032-851-8876,Primescan Connect,6795491,M6785344S803083/PF41X92E,2023-09-15,113455,WEST
올바른약속치과의원,DS Core Care 1-3,경기도,성남시,수정구 산성대로 259,031-746-2004,Primescan Connect,6795491,M6785344S803082/PF41WW51,2023-09-14,113460,EAST
바른마음치과의원,DS Core Care 1-3,충청남도,당진시,당진중앙2로 101,041-357-2853,Primescan Connect,6795491,M6785344S803081/PF41WFMF,2023-09-13,113454,WEST
이올림치과의원,DS Core Care 1-3,경기도,수원시,팔달구 고등로 32,031-246-7528,Primescan Connect,6795491,M6785344S803080/PF41WT05,2023-09-13,113444,WEST
정승화치과의원,DS Core Care 1-3,충청북도,청주시,흥덕구 풍산로 18 ,043-239-2080,Primescan Connect,6795491,M6785344S803079/PF41WFNV,2023-09-13,113449,WEST
연세스카이치과병원,DS Core Care 1-3,경기도,이천시,중리천로 58,031-636-7522,Primescan Connect,6795491,M6785344S803078 / PF41XB79,2023-09-12,107595,EAST
김치과의원_전남 곡성,,전라남도,곡성군,곡성읍 읍내리 310-33,061-362-1800,Primescan Connect,6795491,M6785344S803068/PF42UE55,2023-09-11,110836,WEST
스마일치과_경기 의정부,DS Core Care 1-3,경기도,의정부시,평화로 232,031-826-2754,Primescan Connect,6795491,M6785344S803065/PF41XBCO,2023-09-11,108385,EAST
애플치과의원_서울  영등포,,서울특별시,영등포구,국제금융로8길 19,02-761-2828,Primescan Connect,6795491,M6785344S802963/PF42WC09,2023-09-11,106361,WEST
본치과의원_서울 금천,DS Core Care 1-3,서울특별시,금천구,시흥5동  909-24,02-802-9275,Primescan Connect,6795491,M6785344S802962/PF42MCZP,2023-09-08,113453,WEST
서울토론토치과의원,DS Core Care 1-3,강원특별자치도,원주시,혁신로 262,033-900-2875,Primescan Connect,6795491,M6785344S802960 / PF42H8C2,2023-09-06,113439,EAST
미르치과병원_경남 거제시,DS Core Care 1-3,경상남도,거제시,거제중앙로 1930-11,055-633-7744,Primescan Connect,6795491,M6785344S802961 / PF41XHZ3,2023-09-06,111032,EAST
하루임플치과의원,DS Core Care 1-3,울산광역시,남구,삼산로 266,052-288-7520,Primescan Connect,6795491,M6785344S802959/PF41WSTD,2023-09-05,114012,EAST
연세유라인치과의원_서울  송파구,DS Core Care 1-3,서울특별시,송파구,중대로 97,02-423-7528,Primescan Connect,6795491,M6785344S802958 / PF41X8WP,2023-09-04,111742,EAST
다봄치과,DS Core Care 1-3,경기도,용인시,기흥구 죽전로 39,031-261-7528,Primescan Connect,6795491,M6785344S802957/PF41W8TN,2023-09-01,113427,EAST
조유라치과의원,DS Core Care 1-3,경기도,부천시,원미구 소향로 239,032-325-7528,Primescan Connect,6795491,M6785344S802956/PF42GRCB,2023-08-30,108169,WEST
치클치과_경기 용인시,DS Core Care 1-3,경기도,용인시,처인구 중부대로 1309,031-321-9877,Primescan Connect,6795491,M6785344S802955/PF42M8H3,2023-08-30,110495,EAST
최상용치과의원,DS Core Care 1-3,충청남도,보령시,대흥로 50-6,041-931-2875,Primescan Connect,6795491,M6785344S802954/PF41WL67,2023-08-29,113426,WEST
내이로치과의원,DS Core Care 1-3,서울특별시,중구,다산로 171,02-2232-4285,Primescan Connect,6795491,M6785344S802948/PF41Y33A,2023-08-28,113420,WEST
서울올리브치과_인천 남동구,DS Core Care 1-3,인천광역시,남동구,남동대로 880,032-425-2275,Primescan Connect,6795491,M6785344S802950/PF42MD0X,2023-08-29,113172,WEST
임플라인치과,,충청북도,영동군,영동읍 중앙로3길 2,043-743-2872,Primescan Connect,6795491,M6785344S802949/PF41WB34,2023-08-29,107710,WEST
2080치과의원,DS Core Care 1-3,인천광역시,계양구,효성동 123-73 태산상가 401,032-545-7242,Primescan Connect,6795491,M6785344S802947/PF42MAP6,2023-08-29,110246,WEST
더착한치과의원,DS Core Care 1-3,부산광역시,강서구,명지오션시티4로 59,051-203-2875,Primescan Connect,6795491,M6785344S802945/PF41XB8T,2023-08-29,110295,EAST
클린이치과의원_경기 하남,DS Core Care 1-3,경기도,하남시,감일백제로 169,02-6953-5528,Primescan Connect,6795491,M6785344S802937/PF41WB4S,2023-08-28,113430,EAST
바로이치과,DS Core Care 1-3,경기도,군포시,산본로323번길 16-15,031-395-2800,Primescan Connect,6795491,M6785344S802936/PF41XFRK,2023-08-25,111329,WEST
서울오늘치과의원,DS Core Care 1-3,경기도,고양시,덕양구 동송로 63,,Primescan Connect,6795491,M6785344S802928/PF41WFLM,2023-08-25,112053,WEST
연세센텀치과의원,DS Core Care 1-3,서울특별시,중구,퇴계로 453,02-2233-7528,Primescan Connect,6795491,M6785344S802953/PF42D9QJ,2023-08-24,113412,WEST
바로드림치과의원_경기 화성,DS Core Care 1-3,경기도,화성시,향남읍 상신하길로298번길 7-7,031-352-2208,Primescan Connect,6795491,M6785344S802952/PF42MCYN,2023-08-23,113416,WEST
이끌림치과의원,DS Core Care 1-3,충청북도,청주시,흥덕구 대농로 47,043-715-2875,Primescan Connect,6795491,M6785344S802951/PF42W9NG,2023-08-23,109171,WEST
이끌림치과의원,DS Core Care 1-3,충청북도,청주시,흥덕구 대농로 47,043-715-2875,Primescan Connect,6795491,M6785344S802946/PF41W8VR,2023-08-23,109171,WEST
비욘드 치과병원,DS Core Care 1-3,경기도,과천시,별양상가1로 13,02-3678-2875,Primescan Connect,6795491,M6785344S802877 / PF42D9QJ,2023-08-21,108366,WEST
오늘의치과_경기 부천,DS Core Care 1-3,경기도,부천시,신흥로 201,032-231-2879,Primescan Connect,6795491,M6785344S803572/PF42K4PP,2023-12-26,113389,WEST
수치과_경기 광주시,DS Core Care 1-3,경기도,광주시,곤지암읍 곤지암로 45 ,031-764-0372,Primescan Connect,6795491,M6785344S804163/PF42GLTA,2023-12-22,113700,EAST
스마트365치과_경남 창원(석전동),DS Core Care 1-3,경상남도,창원시,마산회원구 3.15대로 632,055-296-2080,Primescan Connect,6795491,M6785344S804675 / PF42KDBY,2023-12-21,113660,EAST
스마트365치과_경남 창원(석전동),DS Core Care 1-3,경상남도,창원시,마산회원구 3.15대로 632,055-296-2080,Primescan Connect,6795491,M6785344S804663/PF41QMTQ,2023-12-21,113660,EAST
상동우수치과의원,DS Core Care 1-3,경기도,부천시,상동로 90,032-324-3054,Primescan Connect,6795491,M6785344S804661/PF42KBJ9,2023-12-21,113672,WEST
천호온사랑치과의원,DS Core Care 1-3,서울특별시,강동구,올림픽로 667,02-474-7522,Primescan Connect,6795491,M6785344S804658/PF42DEY9,2023-12-21,113671,EAST
탑플란트치과의원,DS Core Care 1-3,전북특별자치도,익산시,동서로 218,063-851-2275,Primescan Connect,6795491,M6785344S805769/PF44HQP1,2024-04-24,111763,WEST
드림치과의원_서울  강남구,DS Core Care 1-3,서울특별시,강남구,논현로 841,02-3448-0028,Primescan Connect,6795491,M6785344S805768/PF44HL31,2024-04-23,107449,EAST
365서울앞선치과의원,DS Core Care 1-3,인천광역시,미추홀구,주안로 107,,Primescan Connect,6795491,M6785344S805767/PF44GVEA,2024-04-23,113895,WEST
행신휴치과의원,DS Core Care 1-3,경기도,고양시,덕양구 무원로6번길 20,031-978-2807,Primescan Connect,6795491,M6785344S803699/PF42DGXE,2023-12-20,113679,WEST
새이로치과,DS Core Care 1-3,경기도,오산시,수목원로 466 301,031-376-2626,Primescan Connect,6795491,M6785344S804652/PF42DAEQ,2023-12-20,113686,WEST
선문대학교,,충청남도,아산시,탕정면 선문로221번길 70,041-530-2734,Primescan Connect,6795491,M6785344S804650/PF42HFLZ,2023-12-20,111541,WEST
정다운치과_경남 창원,DS Core Care 1-3,경상남도,창원시,진해구 냉천남로 3-28,055-546-7528,Primescan Connect,6795491,M6785344S804684/PF41MTBN,2023-12-20,113649,EAST
이앤치과의원_경남 창원,DS Core Care 1-3,경상남도,창원시,성산구 원이대로 473번길,055-283-2895,Primescan Connect,6795491,M6785344S804570 / PF42GPSR,2023-12-18,113683,EAST
서울리치과,DS Core Care 1-3,경기도,부천시,원미구 중동 1031-2 골든벨타워 302호,032-324-5522,Primescan Connect,6795491,M6785344S804549/PF42M8J2,2023-12-19,108121,WEST
연세세브란스치과_세종,DS Core Care 1-3,세종특별자치시,,다정중앙로 57,044-715-5000,Primescan Connect,6795491,M6785344S803667/PF42D5XR,2023-12-19,113670,WEST
연세대학교원주세브란스기독병원,DS Core Care 1-3,강원특별자치도,원주시,일산로 20 ,033-741-0114,Primescan Connect,6795491,M6785344S804586 / PF42DCM0,2023-12-18,105017,EAST
서울스마일치과의원_경기 고양시,DS Core Care 1-3,경기도,고양시,일산서구 중앙로 1565,031-917-2879,Primescan Connect,6795491,M6785344S804584/PF42JF2R,2023-12-12,113640,WEST
산성예스치과의원,DS Core Care 1-3,경기도,성남시,수정구 희망로 551,031-747-2833,Primescan Connect,6795491,M6785344S803654/PF41R6E0,2023-12-14,113644,EAST
인천W치과의원,DS Core Care 1-3,인천광역시,계양구,계산동 946-6 계산메가타운 205호,032-541-2878,Primescan Connect,6795491,M6785344S804583/PF42DEXC,2023-12-13,113648,WEST
넝쿨치과의원,DS Core Care 1-3,경기도,안양시,만안구 안양로 129,031-464-2828,Primescan Connect,6795491,M6785344S803695 / PF41MS9D,2023-12-12,108204,WEST
더보스톤치과병원_충남 천안시,DS Core Care 1-3,충청남도,천안시,서북구 불당33길 26,041-555-2879,Primescan Connect,6795491,M6785344S804582/PF42D5W9,2023-12-12,108774,WEST
서울엘리트치과,DS Core Care 1-3,서울특별시,은평구,은평로 93,02-352-5550,Primescan Connect,6795491,M6785344S803588/PF42GZJ5,2023-12-08,113566,WEST
닥터홍치과의원,DS Core Care 1-3,경기도,화성시,향남읍 상신하길로298번길 7-29,031-8055-0792,Primescan Connect,6795491,M6785344S803694/PF42HAW7,2023-12-08,112900,WEST
이스타치과의원_대구 수성구,DS Core Care 1-3,대구광역시,수성구,파동로 187,053-765-2221,Primescan Connect,6795491,M6785344S803928 / PF44HL43,2023-12-07,113641,EAST
림플란트치과의원,DS Core Care 1-3,서울특별시,동대문구,왕산로 127 ,02-967-2228,Primescan Connect,6795491,M6785344S804577/PF42D847,2023-12-06,107744,EAST
오늘편한치과,DS Core Care 1-3,서울특별시,양천구,공항대로 626,02-2651-2875,Primescan Connect,6795491,M6785344S804272/PF41R3PQ,2023-12-06,113636,WEST
이(e)-푸른치과의원,DS Core Care 1-3,광주광역시,북구,북문대로 242,062-515-2275,Primescan Connect,6795491,M6785344S804576/PF42DEWH,2023-12-05,113634,WEST
참미소치과_경기 용인,DS Core Care 1-3,경기도,용인시,처인구 포곡읍 둔전리 154-3,031-332-2875,Primescan Connect,6795491,M6785344S804575/PF42HFHC,2023-12-05,113637,EAST
연세안녕치과,DS Core Care 1-3,서울특별시,은평구,통일로 636,,Primescan Connect,6795491,M6785344S804572/PF41E6A8,2023-12-04,113593,WEST
늘봄박치과의원,DS Core Care 1-3,경기도,남양주시,진접읍 장현로 77,031-529-7520,Primescan Connect,6795491,M6785344S804571 / PF42H23K,2023-12-01,113628,EAST
성민치과의원_부산 남구,DS Core Care 1-3,부산광역시,남구,홍곡로 360,051-627-1809  051-627-1807,Primescan Connect,6795491,M6785344S804265/PF42GV5C,2023-11-30,113613,EAST
서울리더스치과_충남 아산,DS Core Care 1-3,충청남도,아산시,음봉면 음봉로 515-46,041-548-5333,Primescan Connect,6795491,M6785344S804274/PF41E3VR,2023-11-30,113624,WEST
애플치과의원_경기 의정부,DS Core Care 1-3,경기도,의정부시,평화로 363-8,031-826-2888,Primescan Connect,6795491,M6785344S804273 / PF42GK51,2023-11-30,113627,EAST
이클린치과의원_경기 안산,DS Core Care 1-3,경기도,안산시,단원구 와동 111-6 3층,031-403-2836,Primescan Connect,6795491,M6785344S804247/PF42KDCP,2023-11-30,113415,WEST
(의료)길의료재단,DS Core Care 1-3 Prepay,인천광역시,남동구,남동대로 774번길 21,032-460-3582,Primescan Connect,6795491,M6785344S804277/PF42HD8W,2023-11-29,104944,WEST
(의료)길의료재단,DS Core Care 1-3 Prepay,인천광역시,남동구,남동대로 774번길 21,032-460-3582,Primescan Connect,6795491,M6785344S804276/PF42DAAD,2023-11-29,104944,WEST
연세우리집치과의원,DS Core Care 1-3,서울특별시,송파구,백제고분로 364,02-415-2879,Primescan Connect,6795491,M6785344S804270/PF41R880,2023-11-29,113572,EAST
이정석치과,DS Core Care 1-3,대전광역시,동구,동구청로 205,042-274-2275,Primescan Connect,6795491,M6785344S804269/PF41R1N9,2023-11-29,113623,WEST
아름다운이치과의원,DS Core Care 1-3,경기도,양평군,양서면 양수로 160,031-774-2080,Primescan Connect,6795491,M6785344S804268 / PF41R89K,2023-11-29,113629,EAST
다믿주치과의원_부산 부산진구,DS Core Care 1-3,부산광역시,부산진구,가야대로784번길 27,051-808-2842,Primescan Connect,6795491,M6785344S804267/PF42JHCF,2023-11-28,113616,EAST
좋은얼굴신종연치과의원,DS Core Care 1-3,전북특별자치도,전주시,홍산로 253 SD빌딩 3층,063-282-6622,Primescan Connect,6795491,M6785344S804266/PF42JHBN,2023-11-28,107344,WEST
서울미라클치과의원,DS Core Care 1-3,경기도,군포시,산본로323번길 16-14,,Primescan Connect,6795491,M6785344S803925/PF44HHQ8,2023-11-28,113569,WEST
의료법인 모아의료재단,DS Core Care 1-3,전라남도,여수시,소호로 618 ,061-681-2275,Primescan Connect,6795491,M6785344S804264/PF42HFLA,2023-11-27,113625,WEST
의료법인 모아의료재단,DS Core Care 1-3,전라남도,여수시,소호로 618 ,061-681-2275,Primescan Connect,6795491,M6785344S804263/PF42D17Y,2023-11-27,113625,WEST
청치과_경남 사천시,DS Core Care 1-3,경상남도,사천시,사천읍  평화리 157-13번지 세화빌딩 2층,055-852-4852,Primescan Connect,6795491,M6785344S804262/PF41MNC9,2023-11-27,105601,EAST
처음처럼치과의원(구.예지인치과),DS Core Care 1-3,서울특별시,성북구,동소문로 105,02-942-2875,Primescan Connect,6795491,M6785344S804261 / PF42HFKN,2023-11-27,106610,EAST
연세CS치과의원,DS Core Care 1-3,경기도,성남시,분당구 대왕판교로 606번길 58,031-625-7582,Primescan Connect,6795491,M6785344S804260/PF42D7XM,2023-11-27,106075,EAST
서울믿음치과의원,DS Core Care 1-3,경기도,용인시,수지구 신봉2로 6 ,031-898-2875,Primescan Connect,6795491,M6785344S804259/PF41MHKN,2023-11-24,102136,EAST
상아플러스치과의원_인천 중구,DS Core Care 1-3,인천광역시,중구,인천 중구 우현로 75,032-772-2877,Primescan Connect,6795491,M6785344S803931/PF41QNCN,2023-11-24,113615,WEST
박인율연합치과의원,DS Core Care 1-3,경상남도,창원시,마산회원구 양덕서로 47,055-275-5453,Primescan Connect,6795491,M6785344S803596 / PF42JPSZ,2023-11-24,113608,EAST
열린이사랑치과의원,DS Core Care 1-3,경상북도,포항시,북구 새천년대로1076번지 22,054-232-2875,Primescan Connect,6795491,M6785344S804258/PF42H1X7,2023-11-22,113702,EAST
정치과의원_광주  북구,DS Core Care 1-3,광주광역시,북구,우치로 246,062-264-2876,Primescan Connect,6795491,M6785344S804257/PF42K4M6,2023-11-22,103377,WEST
행복나눔치과,,부산광역시,사상구,낙동대로 733,051-316-7528,Primescan Connect,6795491,M6785344S804256/PF41E836,2023-11-22,113584,EAST
플란치과의원_경기 수원,DS Core Care 1-3,경기도,수원시,팔달구 중부대로 141,1666-2395,Primescan Connect,6795491,M6785344S804255/PF42JK3L,2023-11-20,113567,WEST
서변다온치과의원,DS Core Care 1-3,대구광역시,북구,호국로 209,053-716-2808,Primescan Connect,6795491,M6785344S804254 / PF42GRY3,2023-11-20,113585,EAST
최정원치과의원,DS Core Care 1-3,서울특별시,서초구,논현로 139,02-3487-5643,Primescan Connect,6795491,M6785344S803576/PF42K4SY,2023-11-16,102306,EAST
플란치과병원,DS Core Care 1-3,인천광역시,부평구,주부토로 17,1668-2872,Primescan Connect,6795491,M6785344S804252/PF42JHE6,2023-11-16,113025,WEST
이다움치과_인천  부평구,DS Core Care 1-3,인천광역시,부평구,삼산동  464-1 메디캐슬 502,032-518-0002,Primescan Connect,6795491,M6785344S803592/PF42K4S3,2023-11-17,113586,WEST
솔치과_충북 청주,DS Core Care 1-3,충청북도,청주시,상당구 월평로 192,043-715-5528,Primescan Connect,6795491,M6785344S803580/PF42GRrB,2023-11-17,113542,WEST
얼굴에미소치과의원,DS Core Care 1-3,경기도,남양주시,진접읍 금강로1573번길,,Primescan Connect,6795491,M6785344S804251 / PF42GKA4,2023-11-15,106879,EAST
유천플란트치과,DS Core Care 1-3,대전광역시,중구,계백로 1600,042-710-7528,Primescan Connect,6795491,M6785344S804250/PF44H41S,2023-11-15,113256,WEST
서울플러스치과,DS Core Care 1-3,서울특별시,도봉구,시루봉로 105-2 ,02-3492-7555,Primescan Connect,6795491,M6785344S803665 / PF42DA49,2023-11-15,113599,EAST
최상희치과의원,DS Core Care 1-3,대구광역시,남구,대명3동  2570-2번지,053-622-2875,Primescan Connect,6795491,M6785344S804249/ PF41R8M2,2023-11-14,101064,EAST
이춘홍치과의원,DS Core Care 1-3,경상북도,안동시,목성동  65-39,054-852-3373,Primescan Connect,6795491,M6785344S804248 / PF42H87H,2023-11-14,101491,EAST
제주아나픈치과의원,DS Core Care 1-3,제주특별자치도,제주시,노형로 362,064-747-2875,Primescan Connect,6795491,M6785344S804246/PF41NR27,2023-11-14,113575,WEST
편한치과의원_부산 영도구,DS Core Care 1-3,부산광역시,영도구,동삼로 45,051-403-3334,Primescan Connect,6795491,M6785344S804245/PF42GZTA,2023-11-13,113574,EAST
함박미소치과,DS Core Care 1-3,경기도,평택시,고덕국제5로 145,031-8054-7597,Primescan Connect,6795491,M6785344S803652/PF41NFGC,2023-11-10,113580,WEST
해맑은치과_경기 수원시,DS Core Care 1-3,경기도,수원시,영통구 영통로 120,031-224-0028,Primescan Connect,6795491,M6785344S804244/PF42JHFG,2023-11-08,100486,WEST
왜관심플란트치과,DS Core Care 1-3,경상북도,칠곡군,왜관읍 중앙로 86,054-920-0008,Primescan Connect,6795491,M6785344S804243 /  PF42KE8P,2023-11-08,113571,EAST
서울홍치과의원,DS Core Care 1-3,서울특별시,중랑구,면목로 481,02-6956-7525,Primescan Connect,6795491,M6785344S804242 / PF42GXJ8,2023-11-08,113570,EAST
루나치과보존과치과의원,DS Core Care 1-3,서울특별시,성동구,아차산로 103,02-6956-7522,Primescan Connect,6795491,M6785344S804241/PF41N6D1,2023-11-03,111368,EAST
